english_word,spanish_word,english_hint,spanish_hint
finger,dedo,"Digit of the hand","Parte de la mano"
pool,piscina,"Water for swimming","Lugar para nadar"
focus,enfoque,"Point of attention","Centro de atención"
garden,jardín,"Area for plants","Lugar con plantas"
property,propiedad,"Owned possession","Bien poseído"
mayor,alcalde/alcalde,"City leader","Jefe municipal"
issue,asunto,"Important topic","Tema importante"
pal,amigo,"Casual friend","Compañero cercano"
interview,entrevista,"Question session","Sesión de preguntas"
fan,aficionado/aficionada,"Enthusiastic supporter","Persona entusiasta"
signal,señal,"Sign or indicator","Indicación visible"
silence,silencio,"Absence of sound","Falta de sonido"
surgery,cirugía,"Medical operation","Procedimiento médico"
harm,daño,"Physical injury","Perjuicio causado"
staff,personal,"Workers of an organization","Equipo de trabajadores"
chef,chef,"Professional cook","Cocinero profesional"
weather,clima,"Atmospheric conditions","Condiciones del tiempo"
distance,distancia,"Space between points","Espacio entre lugares"
process,proceso,"Series of steps","Conjunto de pasos"
season,estación,"Part of the year","Periodo del año"
access,acceso,"Right of entry","Permiso de entrada"
model,modelo,"Example or representation","Representación ejemplar"
path,camino,"Small route","Ruta estrecha"
russian,ruso,"Person from Russia","Persona de Rusia"
member,miembro,"Part of a group","Integrante de grupo"
style,estilo,"Distinctive manner","Forma característica"
alarm,alarma,"Warning device","Dispositivo de alerta"
japanese,japonés/japonesa,"Person from Japan","Persona de Japón"
sugar,azúcar,"Sweet substance","Sustancia dulce"
roof,techo,"Top of a building","Parte superior"
funeral,funeral,"Burial ceremony","Ceremonia mortuoria"
damage,daño,"Physical harm","Perjuicio material"
stomach,estómago,"Organ for digestion","Órgano digestivo"
bread,pan,"Baked staple food","Alimento horneado"
snow,nieve,"Frozen precipitation","Agua congelada"
castle,castillo,"Fortified residence","Edificio medieval"
speech,discurso,"Formal talk","Habla formal"
block,bloque,"Solid mass","Masa sólida"
shake,temblor,"Small vibration","Movimiento ligero"
dig,excavación,"Act of digging","Acción de cavar"
post,poste,"Vertical support","Soporte vertical"
reality,realidad,"Actual state of things","Estado verdadero"
football,fútbol,"Popular team sport","Deporte con balón"
spread,extensión,"Area covered","Área cubierta"
coat,abrigo,"Warm outer garment","Prenda para frío"
chest,pecho,"Front torso area","Parte frontal del torso"
success,éxito,"Achievement of goal","Logro importante"
madame,madame,"Formal address for woman","Tratamiento formal"
safety,seguridad,"Protection from danger","Protección contra daño"
permission,permiso,"Authorization to act","Autorización"
fancy,capricho,"Sudden desire","Deseo repentino"
theory,teoría,"Proposed explanation","Explicación propuesta"
gate,puerta,"Entry barrier","Entrada cerrada"
journey,viaje,"Long trip","Trayecto largo"
paint,pintura,"Colored coating","Material artístico"
lover,amante,"Romantic partner","Pareja romántica"
mood,humor,"Emotional state","Estado emocional"
storm,tormenta,"Severe weather","Clima violento"
page,página,"Sheet in book","Hoja de libro"
cheese,queso,"Dairy product","Producto de leche"
priest,sacerdote,"Religious leader","Líder religioso"
regret,arrepentimiento,"Feeling of remorse","Sentimiento de culpa"
contract,contrato,"Legal agreement","Acuerdo legal"
thief,ladrón,"Person who steals","Persona que roba"
divorce,divorcio,"End of marriage","Fin legal del matrimonio"
lesson,lección,"Educational unit","Unidad de enseñanza"
community,comunidad,"Group sharing place","Grupo social"
subject,tema,"Topic of discussion","Asunto tratado"
rent,alquiler,"Payment for use","Pago por uso"
revenge,venganza,"Retaliation for harm","Castigo por daño"
trade,comercio,"Exchange of goods","Intercambio comercial"
forest,bosque,"Large area of trees","Gran área de árboles"
rush,prisa,"Hurry or urgency","Necesidad de rapidez"
owner,dueño/dueña,"Person possessing","Persona propietaria"
amount,cantidad,"Total number","Número total"
artist,artista,"Creative professional","Persona creativa"
pocket,bolsillo,"Clothing pouch","Compartimento de ropa"
cancer,cáncer,"Serious disease","Enfermedad grave"
pair,par,"Two items","Conjunto de dos"
ruin,ruina,"State of destruction","Estado destruido"
grandfather,abuelo,"Parent’s father","Padre del padre"
bike,bicicleta,"Two-wheel vehicle","Vehículo de dos ruedas"
loss,pérdida,"Act of losing","Falta de algo"
winter,invierno,"Cold season","Estación fría"
assistant,asistente,"Helper role","Persona que ayuda"
farm,granja,"Agricultural land","Lugar de cultivo"
tongue,lengua,"Organ for taste","Órgano del gusto"
toilet,baño,"Room with toilet","Lugar sanitario"
genius,genio,"Exceptionally intelligent person","Persona brillante"
square,plaza,"Open city area","Espacio urbano"
secretary,secretario/secretaria,"Office assistant","Empleado administrativo"
connection,conexión,"Link between things","Vínculo entre cosas"
downstairs,planta baja,"Lower floor","Piso inferior"
bedroom,habitación,"Room for sleeping","Cuarto para dormir"
professional,profesional,"Paid expert worker","Trabajador experto"
tour,gira,"Planned travel route","Recorrido organizado"
player,jugador/jugadora,"Participant in game","Participante deportivo"
silver,plata,"Precious metal","Metal brillante"
pity,lástima,"Feeling of sympathy","Sentimiento de compasión"
clock,reloj,"Timekeeping device","Dispositivo para hora"
ocean,océano,"Huge sea body","Gran masa de agua"
dna,ADN,"Genetic molecule","Molécula genética"
crash,choque,"Violent collision","Colisión fuerte"
bath,baño,"Act of washing body","Acción de bañarse"
fortune,fortuna,"Great wealth or luck","Gran riqueza"
century,siglo,"100-year period","Periodo de cien años"
insurance,seguro,"Protection policy","Protección financiera"
airport,aeropuerto,"Place for planes","Terminal aérea"
temple,templo,"Religious building","Edificio sagrado"
knowledge,conocimiento,"Understanding gained","Saber adquirido"
map,mapa,"Geographic drawing","Representación del terreno"
competition,competencia,"Contest for victory","Concurso competitivo"
defense,defensa,"Protection against attack","Protección contra ataque"
goodness,bondad,"Kind moral quality","Cualidad amable"
event,evento,"Notable happening","Hecho importante"
period,período,"Span of time","Intervalo temporal"
shape,forma,"Outline of object","Figura externa"
hell,infierno,"Place of torment","Lugar de castigo"
telephone,teléfono,"Device for calls","Aparato para llamar"
request,solicitud,"Formal ask","Petición formal"
grant,subvención,"Financial aid","Ayuda económica"
affair,asunto,"Matter of concern","Tema importante"
grave,tumba,"Burial place","Lugar de entierro"
giant,gigante,"Very large being","Ser enorme"
plant,planta,"Living green organism","Ser vegetal"
site,sitio,"Specific place","Lugar específico"
statement,declaración,"Formal remark","Comentario oficial"
rise,ascenso,"Upward movement","Movimiento hacia arriba"
jacket,chaqueta,"Short outer coat","Prenda exterior"
mercy,misericordia,"Compassion shown","Compasión demostrada"
switch,interruptor,"Device to control power","Control de energía"
meal,comida,"Food serving","Ración de alimento"
direction,dirección,"Course to follow","Ruta a seguir"
data,datos,"Collected information","Información reunida"
horn,cuerno,"Animal or instrument projection","Proyección dura"
attorney,abogado,"Legal representative","Profesional legal"
official,oficial,"Person with authority","Persona con cargo"
rat,rata,"Rodent animal","Roedor pequeño"
pizza,pizza,"Italian baked dish","Comida italiana"
shock,choque,"Sudden surprise","Impacto inesperado"
soup,sopa,"Liquid food dish","Comida líquida"
courage,valor,"Bravery in danger","Valentía ante riesgo"
yellow,amarillo,"Color of lemons","Color brillante"
location,ubicación,"Exact place","Lugar exacto"
jerk,idiota,"Rude foolish person","Persona grosera"
chocolate,chocolate,"Sweet cocoa food","Dulce de cacao"
image,imagen,"Visual representation","Representación visual"
regular,regular,"Normal or standard","Común o habitual"
taxi,taxi,"Car for hire","Auto de servicio"
piss,orín,"Urine slang","Orina vulgar"
wound,herida,"Injury to body","Lesión corporal"
plate,plato,"Dish for food","Recipiente para comida"
television,televisión,"Screen broadcast device","Dispositivo de video"
freak,bicho raro,"Very strange person","Persona muy rara"
traffic,tráfico,"Vehicle movement","Movimiento de autos"
dawn,amanecer,First light of the day,Primera luz del día
poison,veneno,Substance that can kill or harm,Sustancia que puede matar o dañar
mystery,misterio,Something difficult to explain or solve,Algo difícil de explicar o resolver
indian,indio/india,Person from India or Indigenous American,Persona de India o indígena
bang,estruendo,Loud explosive sound,Ruido fuerte o explosivo
disease,enfermedad,Illness affecting the body,Problema de salud del cuerpo
italian,italiano/italiana,Person or language from Italy,Persona o idioma de Italia
role,papel,Part played by an actor or person,Función o personaje que alguien cumple
butt,trasero,Backside of a person,Parte trasera del cuerpo
victory,victoria,Winning in a contest or battle,Triunfo en una competencia
trap,trampa,Device used to catch something,Dispositivo para atrapar algo
nation,nación,Large community of people with government,País o estado organizado
desire,deseo,Strong feeling of wanting something,Fuerte ganas de algo
midnight,medianoche,12 o'clock at night,Doce de la noche
jury,jurado,Group deciding a case in court,Grupo que decide un caso legal
appointment,cita,Scheduled meeting,Reunión programada
swim,natación,Moving through water with arms and legs,Actividad de moverse en el agua
mail,correo,System for sending letters,Sistema para enviar cartas
vacation,vacaciones,Time away from work or school,Tiempo de descanso del trabajo
source,fuente,Origin of something,Origen de algo
factory,fábrica,Building where goods are produced,Lugar donde se fabrican productos
palace,palacio,Large royal residence,Gran residencia real
crack,grieta,Small split in a surface,Abertura pequeña en algo
talent,talento,Natural ability,Habilidad natural
neighborhood,vecindario,Area where people live,Barrio o zona residencial
threat,amenaza,Statement of possible harm,Advertencia de daño posible
ear,oreja,Organ used for hearing,Parte del cuerpo para oír
miracle,milagro,Wonderful event with no explanation,Hecho sorprendente inexplicable
grandmother,abuela,Mother of a parent,Madre de tu padre o madre
firm,empresa,Business organization,Organización comercial
winner,ganador/ganadora,Person who wins,Persona que gana
license,licencia,Official permission,Permiso oficial
advantage,ventaja,Benefit over others,Beneficio sobre otros
monkey,mono,Tree-dwelling primate,Animal parecido al humano que vive en árboles
mirror,espejo,Surface that reflects images,Superficie que refleja imágenes
wood,madera,Material from trees,Material de los árboles
union,sindicato,Workers' organization,Organización de trabajadores
christian,cristiano/cristiana,Follower of Christianity,Seguidor de la religión cristiana
violence,violencia,Use of physical force,Uso de fuerza física
protection,protección,Act of keeping safe,Acción de mantener seguro
hook,gancho,Curved piece for hanging something,Pieza curva para colgar
motherfucker,hijo de puta,Strong insulting term,Insulto fuerte
concern,preocupación,Feeling of worry,Sentimiento de inquietud
effect,efecto,Result of a cause,Resultado de una causa
studio,estudio,Place for recording or art,Lugar para grabar o crear arte
load,carga,Amount carried or transported,Cantidad que se transporta
treasure,tesoro,Valuable hidden riches,Riqueza muy valiosa
spell,hechizo,Magic words or charm,Palabras mágicas
iron,hierro,Strong metallic element,Metal fuerte
rescue,rescate,Save from danger,Salvar del peligro
treatment,tratamiento,Medical care given to a patient,Atención médica para curar
desert,desierto,Dry land with little rain,Tierra seca con poca lluvia
result,resultado,Outcome of an action,Consecuencia de algo
piano,piano,Large keyboard instrument,Instrumento musical de teclas
friendship,amistad,Close bond between friends,Relación cercana entre amigos
candy,caramelo,Sweet sugary treat,Dulce de azúcar
bride,novia,Woman getting married,Mujer que se casa
flower,flor,Colorful part of a plant,Parte colorida de una planta
bone,hueso,Hard part of skeleton,Parte dura del esqueleto
value,valor,Worth or importance,Importancia o precio
junior,junior,Younger person with same name,Persona más joven con mismo nombre
remains,restos,What is left after something ends,Lo que queda
metal,metal,Shiny hard material,Material duro y brillante
tip,propina,Extra money for service,Dinero extra por servicio
holiday,vacaciones,Day of celebration or rest,Día festivo o descanso
rate,tasa,Measured amount or speed,Medida o porcentaje
performance,rendimiento,How well something works,Resultado de funcionamiento
governor,gobernador,Leader of a state,Jefe político de un estado
vehicle,vehículo,Transport machine like a car,Medio de transporte
toast,brindis,Drink raised in celebration,Gesto de celebrar con bebida
pride,orgullo,Feeling of satisfaction,Sentimiento de satisfacción
champagne,champán,Sparkling wine from France,Vino espumoso
stranger,extraño/extraña,Person you do not know,Persona desconocida
uniform,uniforme,Standard clothing for a group,Ropa igual para un grupo
tear,lágrima,Drop from the eye when crying,Gota que sale del ojo
cab,taxi,Car for hire,Coche de servicio público
presence,presencia,State of being somewhere,Hecho de estar presente
scream,grito,Loud cry,Grito fuerte
dust,polvo,Fine dry particles,Partículas finas
edge,borde,Outer boundary,Extremo de algo
witch,bruja,Woman with magical powers,Mujer con poderes mágicos
media,medios,Communication outlets like TV,Medios de comunicación
claim,reclamación,Statement demanding something,Petición formal
rice,arroz,Small white grain food,Grano alimenticio
egg,huevo,Oval food from a chicken,Alimento ovalado de gallina
punch,puñetazo,Hit with a fist,Golpe con el puño
cast,reparto,Actors in a play or film,Grupo de actores
intelligence,inteligencia,Ability to think and learn,Capacidad mental
cow,vaca,Farm animal that gives milk,Animal que produce leche
surface,superficie,Outer layer of something,Parte exterior
cigarette,cigarrillo,Tobacco rolled in paper,Tabaco en papel
destiny,destino,Future that seems predetermined,Futuro inevitable
score,puntuación,Points in a game,Puntos en un juego
technology,tecnología,Tools and machines of science,Herramientas científicas
dragon,dragón,Mythical fire-breathing creature,Criatura legendaria
pilot,piloto,Person who flies aircraft,Persona que conduce avión
sin,pecado,Act against religious law,Falta religiosa
emperor,emperador,Ruler of an empire,Gobernante de imperio
goal,meta,Desired result,Objectivo final
youth,juventud,Period of being young,Etapa joven de la vida
pot,olla,Container for cooking,Recipiente para cocinar
wolf,lobo,Wild doglike animal,Animal salvaje similar al perro
boom,estruendo,Loud explosive noise,Ruido fuerte
row,fila,Line of people or objects,Línea ordenada
section,sección,Part of a whole,Parte de un todo
dump,vertedero,Place where trash is thrown,Lugar para basura
text,texto,Written words,Palabras escritas
prisoner,prisionero,Person kept in jail,Persona encarcelada
zero,cero,Number representing nothing,Número sin valor
wheel,rueda,Round object that rolls,Objeto circular que gira
exchange,intercambio,Act of trading things,Acción de cambiar algo
coast,costa,Land along the sea,Tierra junto al mar
grade,nota (academic),School evaluation mark,Calificación escolar
shift,turno,Work period,Periodo de trabajo
cure,cura,Something that heals,Remedio que sana
sacrifice,sacrificio,Giving something valuable up,Renuncia importante
beast,bestia,Large wild animal,Animal salvaje grande
pie,pastel,Baked dessert with filling,Postre horneado
material,material,Substance used to make things,Sustancia para fabricar
creature,criatura,Living being,Ser vivo
trace,rastro,Small sign left behind,Señal pequeña de algo
button,botón,Small fastener on clothing,Pieza para cerrar ropa
darkness,oscuridad,Absence of light,Falta de luz
ambulance,ambulancia,Emergency medical vehicle,Transporte médico urgente
internet,internet,Global computer network,Red mundial
range,rango,Scope or extent,Alcance o nivel
expert,experto/a,Person with great knowledge,Persona con gran conocimiento
freeze,congelación,Turning into ice,Proceso de congelar
sale,venta,Exchange for money,Acción de vender
juice,jugo/zumo,Liquid from fruit,Líquido de fruta
solution,solución,Answer to a problem,Respuesta a un problema
tower,torre,Tall narrow building,Estructura alta
mass,masa,Large amount,Gran cantidad
alien,extraterrestre,Being from another planet,Ser de otro planeta
schedule,horario,Plan of times,Lista de tiempos
stairs,escaleras,Steps between floors,Peldaños para subir
fruit,fruta,Sweet edible plant product,Producto dulce de planta
spy,espía,Secret agent,Agente secreto
senior,anciano/superior,Older or higher rank,Persona mayor o de rango alto
garage,garaje,Place to park cars,Lugar para autos
anger,ira,Strong feeling of rage,Sentimiento fuerte de enojo
clue,pista,Piece of evidence,Indicio o señal
magazine,revista,Periodical publication,Publicación periódica
zone,zona,Area or region,Área definida
shoulder,hombro,Joint connecting arm,Parte del cuerpo entre brazo y torso
progress,progreso,Forward improvement,Avance hacia mejoría
snake,serpiente,Legless reptile,Reptil sin patas
effort,esfuerzo,Hard work attempt,Intento con trabajo
elevator,ascensor,Machine lifting people between floors,Máquina para subir pisos
sentence,sentencia,Judgment in court,Fallo judicial
equipment,equipo,Tools needed for a task,Herramientas necesarias
attitude,actitud,Way of thinking or behaving,Forma de pensar
newspaper,periódico,Daily printed news,Publicación de noticias
warrant,orden de arresto,Legal permission for arrest,Permiso legal para arrestar
loser,perdedor,Person who fails,Persona que pierde
series,serie,Set of related items,Conjunto de cosas
vision,visión,Ability to see or imagine,Capacidad de ver
actor,actor,Performer in theater or film,Intérprete en cine o teatro
curse,maldición,Harmful magic wish,Deseo mágico negativo
shadow,sombra,Dark shape from blocked light,Figura oscura
passion,pasión,Strong emotion,Emoción intensa
route,ruta,Path taken to travel,Camino a seguir
reporter,reportero/a,Journalist collecting news,Periodista de noticias
explosion,explosión,Sudden violent burst,Estallido fuerte
squad,escuadrón,Small organized group,Grupo pequeño organizado
kingdom,reino,Land ruled by a king,Territorio de un rey
screen,pantalla,Surface displaying images,Superficie de imagen
fashion,moda,Popular style,Tendencia de vestir
wave,ola,Moving ridge of water,Movimiento del mar
climb,escalada,Going upward by effort,Subir con esfuerzo
pen,pluma,Tool for writing,Herramienta para escribir
incident,incidente,Notable event,Suceso importante
bull,toro,Male cattle animal,Animal macho del ganado
chain,cadena,Series of metal links,Serie de eslabones
device,dispositivo,Gadget or tool,Aparato
debt,deuda,Money owed,Dinero que se debe
campaign,campaña,Organized effort,Esfuerzo organizado
hug,abrazo,Arms wrapped in affection,Gestó de cariño con brazos
alcohol,alcohol,Intoxicating liquid in drinks,Líquido embriagante
conference,conferencia,Formal meeting,Reunión formal
education,educación,Process of learning,Proceso de aprendizaje
politics,política,Government affairs,Asuntos del gobierno
rape,violación,Sexual crime by force,Delito sexual
mummy,momia,Preserved ancient body,Cuerpo preservado
border,frontera,Line between countries,Límite entre países
wire,cable,Thin metal strand,Hilo metálico
prize,premio,Award for winning,Recompensa por ganar
circle,círculo,Round shape,Figura redonda
object,objeto,Physical thing,Cosa material
robbery,robo,Crime of stealing,Delito de robar
thunder,trueno,Sound from lightning,Ruido del rayo
rope,cuerda,Thick twisted fiber line,Línea gruesa de fibras
salt,sal,Common seasoning,Condimento común
flesh,carne,Soft tissue of the body,Tejido del cuerpo
writer,escritor/a,Person who writes books,Persona que escribe
trash,basura,Waste material,Desperdicios
reward,recompensa,Something given for good action,Premio por acción
glory,gloria,Great honor,Gran honor
authority,autoridad,Power to command,Poder para mandar
estate,propiedad,Large area of owned land,Terreno o bienes
yard,patio,Outdoor area beside a house,Espacio exterior junto a una casa
tank,tanque,Armored military vehicle,Vehículo militar blindado
confidence,confianza,Belief in oneself or others,Seguridad o fe en alguien
lack,falta,Absence of something,Falta o carencia
apple,manzana,Common red or green fruit,Fruta redonda y dulce
approach,acercamiento,Way of dealing with something,Manera de tratar algo
chick,pollito,Baby chicken,Cría de gallina
doll,muñeca,Toy shaped like a person,Juguete con forma humana
duck,pato,Water bird with a flat bill,Ave acuática con pico ancho
stock,acciones,Shares in a company,Participaciones de empresa
library,biblioteca,Place with books to borrow,Lugar con libros
failure,fracaso,Lack of success,Falta de éxito
movement,movimiento,Act of changing position,Acción de moverse
bow,arco,Curved weapon for arrows,Arma curva para flechas
tail,cola,Back appendage of an animal,Extremo trasero de un animal
senator,senador,Member of a senate,Miembro del senado
nightmare,pesadilla,Very frightening dream,Sueño aterrador
theater,teatro,Place for plays or films,Lugar para obras o cine
sand,arena,Loose grains on beaches,Granos finos de roca
reputation,reputación,Public opinion about someone,Opinión pública
slip,resbalón,Accidental slide,Deslizamiento accidental
pink,rosa,Light red color,Color claro entre rojo y blanco
maid,doncella,Young female servant,Servidora doméstica
agency,agencia,Business providing services,Empresa de servicios
childhood,infancia,Early years of life,Primeros años de vida
opposite,opuesto,Completely different thing,Lo contrario
policy,política,Plan or rule of action,Norma o plan
panic,pánico,Sudden strong fear,Miedo intenso
design,diseño,Plan or pattern,Plan visual
chat,charla,Informal conversation,Conversación informal
task,tarea,Work to be done,Trabajo asignado
chatter,cháchara,Constant talk,Habla continua
belt,cinturón,Strip worn around the waist,Banda alrededor de la cintura
guarantee,garantía,Promise of quality,Promesa de seguridad
current,corriente,Flow of water or electricity,Flujo continuo
garbage,basura,Waste material,Residuos
custody,custodia,Legal care of someone,Cuidado legal
demon,demonio,Evil spirit,Espíritu maligno
coincidence,coincidencia,Unexpected match of events,Situación que ocurre por casualidad
attempt,intento,Effort to do something,Esfuerzo para lograr algo
revolution,revolución,Major political change,Cambio político radical
agreement,acuerdo,Mutual decision,Decisión común
empire,imperio,Large group of territories ruled by one power,Gran territorio gobernado por uno
disaster,desastre,Great damage or tragedy,Gran calamidad
advance,avance,Forward progress,Progreso hacia adelante
guitar,guitarra,String musical instrument,Instrumento de cuerdas
detail,detalle,Small specific part,Parte pequeña
behavior,comportamiento,Way someone acts,Manera de actuar
delivery,entrega,Act of bringing goods,Acción de entregar
ability,habilidad,Skill to do something,Capacidad de hacer algo
district,distrito,Administrative area,Zona administrativa
shoe,zapato,Footwear,Cobertura para el pie
slave,esclavo/a,Person forced to work,Persona sin libertad
coward,cobarde,Person lacking courage,Persona sin valentía
hunter,cazador,Person who hunts animals,Persona que caza
culture,cultura,Shared traditions of a society,Tradiciones sociales
explanation,explicación,Statement making something clear,Respuesta aclaratoria
committee,comité,Group assigned to a task,Grupo de trabajo
background,antecedente,Past history or context,Historia previa
identity,identidad,Who someone is,Quién es alguien
channel,canal,Path for water or communication,Vía de comunicación
bound,límite,Border or restriction,Frontera o restricción
species,especie,Group of similar organisms,Tipo biológico
struggle,lucha,Hard effort against difficulty,Esfuerzo difícil
mask,máscara,Face covering,Cobertura facial
fever,fiebre,High body temperature,Temperatura corporal alta
loan,préstamo,Money borrowed,Dinero prestado
whistle,silbato,Instrument that makes a sharp sound,Objeto que produce sonido agudo
punishment,castigo,Penalty for wrongdoing,Sanción por falta
production,producción,Creation of goods,Creación de productos
capital,capital,City of government or wealth,Ciudad principal o riqueza
potential,potencial,Possible ability,Capacidad futura
quarter,cuarto,One fourth part,Una cuarta parte
bowl,tazón,Round deep dish,Recipiente redondo
museum,museo,Place displaying historical objects,Lugar con exhibiciones
cheer,porra,Shout of support,Grito de apoyo
dish,plato,Container for food,Recipiente para comida
gunshot,disparo,Sound of a gun,Ruido de arma
closet,armario,Storage cabinet,Mueble para guardar
dirt,suciedad,Unclean matter,Materia sucia
crown,corona,Royal headpiece,Objeto del rey
shout,grito,Loud call,Voz fuerte
fella,tipo,Guy or man,Hombre informal
couch,sofá,Long comfortable seat,Asiento largo
demand,demanda,Strong request,Petición fuerte
transfer,transferencia,Movement from one place to another,Movimiento de algo
joint,junta,Place where things meet,Unión de partes
episode,episodio,Part of a series,Parte de una serie
basement,sótano,Lowest floor of a building,Piso inferior
roman,romano,Person from ancient Rome,Persona de Roma
article,artículo,Written piece or item,Texto o objeto
guide,guía,Person who shows the way,Persona que dirige
sandwich,sándwich,Bread with filling,Comida entre pan
flash,destello,Brief bright light,Luz repentina
wallet,cartera,Small case for money,Objeto para dinero
quality,calidad,Level of excellence,Nivel de excelencia
concert,concierto,Live music performance,Evento musical
singer,cantante,Person who sings,Persona que canta
lane,carril,Strip of road,Vía de tráfico
baseball,béisbol,Bat-and-ball sport,Deporte con bate
title,título,Name of a book or role,Nombre de obra
commissioner,comisionado/a,Official leader,Autoridad oficial
pee,pis,Informal word for urine,Orina en lenguaje informal
charity,caridad,Help for those in need,Ayuda a necesitados
drama,drama,Serious theatrical story,Historia teatral seria
ceremony,ceremonia,Formal event,Evento formal
package,paquete,Wrapped item,Bulto envuelto
shine,brillo,Reflective light,Luz reflejada
comrade,camarada,Companion or ally,Compañero cercano
pussy,gato/a,Slang insult or cat,Insulto o gato
supply,suministro,Available stock,Existencias
tone,tono,Quality of sound,Calidad del sonido
customer,cliente,Person buying goods,Comprador
sweat,sudor,Moisture from skin,Líquido del cuerpo
possibility,posibilidad,Something that may happen,Algo que puede ocurrir
flag,bandera,National symbol cloth,Símbolo nacional
plastic,plástico,Synthetic material,Material sintético
gear,equipo,Tools or machinery,Herramientas
surrender,rendición,Giving up in defeat,Entrega tras derrota
impression,impresión,Effect on the mind,Efecto mental
self,yo,Individual identity,Identidad personal
bust,busto,Statue of head and shoulders,Escultura parcial
servant,sirviente,Person working for a master,Persona que sirve
gym,gimnasio,Place for exercise,Lugar para ejercicio
assault,asalto,Violent attack,Ataque violento
trail,sendero,Path through nature,Camino pequeño
crisis,crisis,Time of intense difficulty,Periodo crítico
collection,colección,Group of gathered items,Conjunto de objetos
diamond,diamante,Hard precious gem,Gema valiosa
adult,adulto/a,Grown person,Persona madura
bible,biblia,Christian holy book,Libro sagrado cristiano
league,liga,Group of teams or clubs,Asociación deportiva
orange,naranja,Citrus fruit or color,Fruta cítrica
imagination,imaginación,Ability to form ideas,Capacidad creativa
neighbor,vecino/a,Person living nearby,Persona cercana
blast,explosión,Strong explosion,Explosión fuerte
balance,equilibrio,State of stability,Estado estable
golf,golf,Sport with clubs and balls,Deporte con palos
defeat,derrota,Loss in competition,Pérdida en juego
theme,tema,Central subject,Asunto central
comfort,comodidad,Feeling of ease,Bienestar
reaction,reacción,Response to something,Respuesta
legend,leyenda,Traditional story,Historia popular
grass,césped,Short green lawn plant,Hierba de jardín
print,impresión,Mark made by pressure,Marca impresa
virus,virus,Tiny infectious agent,Agente infeccioso
launch,lanzamiento,Act of starting or sending,Inicio o envío
siren,sirena,Alarm sound or mythical creature,Sonido de alarma
entrance,entrada,Way in,Lugar para entrar
religion,religión,System of faith,Sistema de creencias
butter,mantequilla,Spread made from cream,Producto lácteo
homework,tarea,School work at home,Trabajo escolar
stress,estrés,Mental pressure,Tensión mental
cap,gorra,Hat with visor,Gorro con visera
bat,murciélago,Flying nocturnal mammal,Mamífero volador nocturno
mix,mezcla,Combination of things,Combinación
torture,tortura,Severe pain inflicted,Infligir dolor
deck,cubierta,Flat ship surface,Superficie del barco
rabbit,conejo,Small long-eared mammal,Mamífero pequeño
option,opción,Choice available,Alternativa
accent,acento,Distinct pronunciation,Forma de pronunciar
tax,impuesto,Money paid to government,Pago al gobierno
rip,desgarro,Tear in fabric or flesh,Ruptura
bud,brote,Young plant growth,Crecimiento nuevo
therapy,terapia,Treatment for illness,Tratamiento médico
lifetime,vida,Span of a person's life,Duración de vida
crush,aplastamiento,Forceful pressing,Presión fuerte
champion,campeón/a,Winner of a contest,Ganador
skull,cráneo,Bone protecting brain,Hueso de la cabeza
version,versión,Different form of something,Forma alternativa
mistress,amante,Woman in affair,Pareja secreta
fuel,combustible,Substance burned for energy,Material que produce energía
term,término,Word or time period,Palabra o periodo
bond,bono,Financial certificate or tie,Documento financiero
plain,llanura,Flat land,Tierra plana
experiment,experimento,Scientific test,Prueba científica
monk,monje,Religious male living in monastery,Hombre religioso
lion,león,Large wild cat,Gran felino
lad,muchacho,Young boy,Joven masculino
exercise,ejercicio,Physical activity,Actividad física
purse,monedero,Small bag for money,Bolsa pequeña
cave,cueva,Natural underground chamber,Espacio bajo tierra
standard,estándar,Accepted level,Nivel aceptado
tunnel,túnel,Underground passage,Pasaje subterráneo
steel,acero,Strong metal alloy,Metal resistente
division,división,Separation into parts,Separación
sheep,oveja,Wool-producing farm animal,Animal con lana
classic,clásico,Traditional or enduring work,Obra tradicional
nephew,sobrino,Son of a sibling,Hijo de hermano
sauce,salsa,Liquid for flavoring food,Condimento líquido
influence,influencia,Power to affect others,Poder de afectar
network,red,Connected system,Sistema conectado
contest,concurso,Competition event,Evento competitivo
cabin,cabaña,Small wooden house,Casa pequeña
jungle,jungla,Dense tropical forest,Bosque tropical
vampire,vampiro,Mythical blood-drinking creature,Criatura mítica
exit,salida,Way out,Lugar para salir
spit,escupitajo,Saliva expelled from mouth,Saliva expulsada
generation,generación,Group born around same time,Grupo de misma época
crystal,cristal,Clear transparent mineral,Material transparente y duro
status,estatus,Position or rank in society,Posición o condición social
degree,grado,Level of education or measurement,Nivel académico o medida
buck,dólar,Informal word for a dollar,Forma coloquial de dólar
brand,marca,Symbol identifying a product,Señal que identifica producto
toy,juguete,Plaything for children,Objeto para jugar
scratch,rasguño,Small cut on skin or surface,Marca superficial
tribe,tribu,Group with shared ancestry,Grupo cultural antiguo
script,guion,Written text for a play or film,Texto para obra o cine
nerve,nervio,Fiber transmitting impulses,Fibra del sistema nervioso
seal,sello,Stamp used to close or certify,Marca oficial
bug,bicho,Small insect or creature,Insecto pequeño
response,respuesta,Reply to a question,Contestación
surveillance,vigilancia,Close observation for security,Observación constante
gain,ganancia,Increase or profit,Aumento o beneficio
trigger,gatillo,Part of gun that fires it,Parte de arma que dispara
clinic,clínica,Medical treatment center,Centro médico
